,maker,model,specific_model,year,mpg,type,transmission,warranty,engine,seats,cylinders,drivetype,fuel,displacement,power,torque,price,bluetooth,heatseat,navigation,label
413,Dodge,Charger,2016 Charger SRT Hellcat,2016, 13/22 mpg,Sedan, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.2 L, 707 hp @ 6000 rpm, 650 ft-lbs. @ 4800 rpm,"$65,945 ",        Yes,        Yes,        Yes,14
414,Dodge,Charger,2014 Charger SRT8,2014, 14/23 mpg,Sedan, 5-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 470 hp @ 6000 rpm, 470 ft-lbs. @ 4300 rpm,"$46,385 ",        Yes,        Yes,        Yes,14
415,Dodge,Durango,2016 Durango SUV,2016, 18/25 mpg,SUV, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,7,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 290 hp @ 6400 rpm, 260 ft-lbs. @ 4800 rpm,"$30,495 ",        Yes,        Yes,        No,2
416,Dodge,Charger,2016 Charger Sedan,2016, 19/31 mpg,Sedan, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 292 hp @ 6350 rpm, 260 ft-lbs. @ 4800 rpm,"$27,995 ",        Yes,        Yes,        No,2
417,Dodge,Challenger,2014 Challenger SRT8 Core,2014, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 470 hp @ 6000 rpm, 470 ft-lbs. @ 4200 rpm,"$39,485 ",        No,        No,        No,16
418,Dodge,Challenger,2015 Challenger SRT Hellcat,2015, 13/22 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.2 L, 707 hp @ 6000 rpm, 650 ft-lbs. @ 4000 rpm,"$58,295 ",        Yes,        Yes,        No,16
419,Dodge,Challenger,2014 Challenger SRT8,2014, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 470 hp @ 6000 rpm, 470 ft-lbs. @ 4200 rpm,"$44,685 ",        Yes,        Yes,        No,16
420,Dodge,Challenger,2015 Challenger SRT 392,2015, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 485 hp @ 6100 rpm, 475 ft-lbs. @ 4200 rpm,"$45,695 ",        Yes,        Yes,        No,16
421,Dodge,Charger,2015 Charger Sedan,2015, 19/31 mpg,Sedan, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 292 hp @ 6350 rpm, 260 ft-lbs. @ 4800 rpm,"$27,995 ",        Yes,        Yes,        No,2
422,Dodge,Charger,2014 Charger Sedan,2014, 18/27 mpg,Sedan, 5-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 292 hp @ 6350 rpm, 260 ft-lbs. @ 4800 rpm,"$26,995 ",        No,        Yes,        No,2
423,Dodge,Durango,2015 Durango SUV,2015, 18/25 mpg,SUV, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,7,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 290 hp @ 6400 rpm, 260 ft-lbs. @ 4800 rpm,"$30,495 ",        Yes,        Yes,        No,2
424,Dodge,Durango,2014 Durango SUV,2014, 18/25 mpg,SUV, 8-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,7,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 290 hp @ 6400 rpm, 260 ft-lbs. @ 4800 rpm,"$29,995 ",        Yes,        Yes,        No,2
425,Dodge,Dart,2016 Dart Sedan,2016, 25/36 mpg,Sedan, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 160 hp @ 6400 rpm, 148 ft-lbs. @ 4600 rpm,"$16,895 ",        No,        No,        No,0
426,Dodge,Dart,2015 Dart Sedan,2015, 25/36 mpg,Sedan, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 160 hp @ 6400 rpm, 148 ft-lbs. @ 4600 rpm,"$16,495 ",        No,        No,        No,0
427,Dodge,Dart,2014 Dart Sedan,2014, 25/36 mpg,Sedan, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 160 hp @ 6400 rpm, 148 ft-lbs. @ 4600 rpm,"$16,495 ",        No,        No,        No,0
428,Dodge,Grand Caravan,2014 Grand Caravan Minivan,2014, 17/25 mpg,Minivan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),7,V6, Front Wheel Drive, Flex-fuel (FFV), 3.6 L, 283 hp @ 6400 rpm, 260 ft-lbs. @ 4400 rpm,"$20,895 ",        No,        No,        No,24
429,Dodge,Journey,2014 Journey SUV,2014, 19/26 mpg,SUV, 4-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.4 L, 173 hp @ 6000 rpm, 166 ft-lbs. @ 4000 rpm,"$19,995 ",        No,        No,        No,0
430,Dodge,Viper,2016 Viper Coupe,2016, 12/21 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,2,V10, Rear Wheel Drive, Premium unleaded (required), 8.4 L, 645 hp @ 6200 rpm, 600 ft-lbs. @ 5000 rpm,"$86,995 ",        Yes,        No,        Yes,25
431,Dodge,Viper,2015 Viper Coupe,2015, 12/21 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,2,V10, Rear Wheel Drive, Premium unleaded (required), 8.4 L, 645 hp @ 6200 rpm, 600 ft-lbs. @ 5000 rpm,"$84,995 ",        Yes,        No,        Yes,25
432,Dodge,SRT Viper,2014 SRT Viper Coupe,2014, 12/19 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,2,V10, Rear Wheel Drive, Premium unleaded (required), 8.4 L, 640 hp @ 6200 rpm, 600 ft-lbs. @ 5000 rpm,"$84,885 ",        Yes,        No,        No,25
433,Dodge,Challenger,2016 Challenger Coupe,2016, 19/30 mpg,Coupe, 8-speed Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 305 hp @ 6350 rpm, 268 ft-lbs. @ 4800 rpm,"$26,995 ",        Yes,        Yes,        No,15
434,Dodge,Challenger,2016 Challenger R/T Scat Pack,2016, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 485 hp @ 6100 rpm, 475 ft-lbs. @ 4200 rpm,"$37,995 ",        Yes,        Yes,        No,16
435,Dodge,Challenger,2015 Challenger R/T Scat Pack,2015, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 485 hp @ 6100 rpm, 475 ft-lbs. @ 4200 rpm,"$37,995 ",        Yes,        Yes,        No,16
436,Dodge,Challenger,2015 Challenger R/T Scat Pack Shaker,2015, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 485 hp @ 6100 rpm, 475 ft-lbs. @ 4200 rpm,"$42,595 ",        Yes,        Yes,        No,16
437,Dodge,Challenger,2015 Challenger Coupe,2015, 19/30 mpg,Coupe, 8-speed Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 305 hp @ 6350 rpm, 268 ft-lbs. @ 4800 rpm,"$26,995 ",        Yes,        Yes,        No,15
438,Dodge,Avenger,2014 Avenger Sedan,2014, 21/29 mpg,Sedan, 4-speed Automatic, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.4 L, 173 hp @ 6000 rpm, 166 ft-lbs. @ 4400 rpm,"$20,595 ",        No,        Yes,        No,0
439,Dodge,Challenger,2016 Challenger 392 Hemi Scat Pack Shaker,2016, 14/23 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,V8, Rear Wheel Drive, Premium unleaded (recommended), 6.4 L, 485 hp @ 6100 rpm, 475 ft-lbs. @ 4200 rpm,"$42,595 ",        Yes,        Yes,        No,16
440,Dodge,Challenger,2014 Challenger Coupe,2014, 18/27 mpg,Coupe, 5-speed Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, Rear Wheel Drive, Regular unleaded, 3.6 L, 305 hp @ 6350 rpm, 268 ft-lbs. @ 4800 rpm,"$26,495 ",        No,        Yes,        No,15
441,Ford,Transit Wagon,2015 Transit Wagon Van,2015, 14/19 mpg,Van, 6-speed Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),8,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.7 L, 275 hp @ 6000 rpm, 260 ft-lbs. @ 4000 rpm,"$32,270 ",        No,        No,        No,20
442,Ford,Transit Wagon,2016 Transit Wagon Van,2016, 14/19 mpg,Van, 6-speed Automatic,Not Available, Flex-fuel (ffv),8,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.7 L, 275 hp @ 6000 rpm, 260 ft-lbs. @ 4000 rpm,"$33,175 ",        No,        No,        No,20
443,Ford,Transit Van,2015 Transit Van ,2015,Not Available,Van, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),2,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.7 L, 275 hp @ 6000 rpm, 260 ft-lbs. @ 4000 rpm,"$29,735 ",        No,        No,        No,20
444,Ford,Transit Van,2016 Transit Van ,2016,Not Available,Van, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),2,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.7 L, 275 hp @ 6000 rpm, 260 ft-lbs. @ 4000 rpm,"$30,960 ",        No,        No,        No,20
445,Ford,Taurus,2016 Taurus Sedan,2016, 19/29 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),5,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 288 hp @ 6500 rpm, 254 ft-lbs. @ 4000 rpm,"$27,110 ",        Yes,        No,        No,2
446,Ford,Transit Connect,2016 Transit Connect Minivan,2016, 21/29 mpg,Minivan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,2,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 169 hp @ 6000 rpm, 171 ft-lbs. @ 4500 rpm,"$22,675 ",        No,        No,        No,26
447,Ford,Taurus,2015 Taurus Sedan,2015, 19/29 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),5,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 288 hp @ 6500 rpm, 254 ft-lbs. @ 4000 rpm,"$27,055 ",        Yes,        No,        Yes,2
448,Ford,Mustang,2016 Mustang Convertible,2016, 17/28 mpg,Convertible, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 300 hp @ 6500 rpm, 280 ft-lbs. @ 4000 rpm,"$29,395 ",        Yes,        No,        No,21
449,Ford,Shelby GT500,2014 Shelby GT500 Convertible,2014, 15/24 mpg,Convertible, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V8, Rear Wheel Drive, Premium unleaded (required), 5.8 L, 662 hp @ 6250 rpm, 631 ft-lbs. @ 4000 rpm,"$60,110 ",        Yes,        Yes,        No,22
450,Ford,Mustang,2016 Mustang Coupe,2016, 17/28 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 300 hp @ 6500 rpm, 280 ft-lbs. @ 4000 rpm,"$23,895 ",        Yes,        No,        No,15
451,Ford,Mustang,2015 Mustang Convertible,2015, 17/28 mpg,Convertible, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 300 hp @ 6500 rpm, 280 ft-lbs. @ 4000 rpm,"$29,300 ",        Yes,        No,        No,21
452,Ford,GT,2017 GT Coupe,2017,Not Available,Coupe,Not Available,Not Available, Gas,Not Available,Not Available, Rear Wheel Drive, Premium unleaded (required),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9
453,Ford,Mustang,2015 Mustang Coupe,2015, 17/28 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 300 hp @ 6500 rpm, 280 ft-lbs. @ 4000 rpm,"$23,800 ",        Yes,        No,        No,15
454,Ford,Taurus,2016 Taurus SHO,2016, 17/25 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (recommended), 3.5 L, 365 hp @ 5500 rpm, 350 ft-lbs. @ 1500 rpm,"$40,275 ",        Yes,        Yes,        Yes,2
455,Ford,Taurus,2015 Taurus SHO,2015, 17/25 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (recommended), 3.5 L, 365 hp @ 5500 rpm, 350 ft-lbs. @ 1500 rpm,"$40,220 ",        Yes,        Yes,        Yes,2
456,Ford,Shelby GT500,2014 Shelby GT500 Coupe,2014, 15/24 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V8, Rear Wheel Drive, Premium unleaded (required), 5.8 L, 662 hp @ 6250 rpm, 631 ft-lbs. @ 4000 rpm,"$55,110 ",        Yes,        Yes,        No,16
457,Ford,Fusion Hybrid,2016 Fusion Hybrid Sedan,2016, 44/41 mpg,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$25,675 ",        Yes,        No,        No,0
458,Ford,Taurus,2014 Taurus SHO,2014, 17/25 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (recommended), 3.5 L, 365 hp @ 5500 rpm, 350 ft-lbs. @ 1500 rpm,"$39,980 ",        Yes,        Yes,        Yes,2
459,Ford,Fusion Hybrid,2015 Fusion Hybrid Sedan,2015, 44/41 mpg,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$26,575 ",        Yes,        No,        No,0
460,Ford,Fusion Energi,2014 Fusion Energi Sedan,2014,Not Available,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive,Not Available, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$34,700 ",        Yes,        Yes,        Yes,0
461,Ford,Focus ST,2016 Focus ST Hatchback,2016, 23/32 mpg,Hatchback, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 252 hp @ 5500 rpm, 270 ft-lbs. @ 2500 rpm,"$24,425 ",        Yes,        Yes,        No,4
462,Ford,Focus ST,2015 Focus ST Hatchback,2015, 23/32 mpg,Hatchback, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 252 hp @ 5500 rpm, 270 ft-lbs. @ 2500 rpm,"$24,370 ",        Yes,        Yes,        No,4
463,Ford,Fusion,2017 Fusion Sedan,2017,Not Available,Sedan,Not Available,Not Available, Gas,Not Available,Not Available, Front Wheel Drive, Regular unleaded,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3
464,Ford,Fusion,2016 Fusion Sedan,2016, 22/34 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 175 hp @ 6000 rpm, 175 ft-lbs. @ 4500 rpm,"$22,600 ",        Yes,        No,        No,0
465,Ford,Fusion,2014 Fusion Sedan,2014, 22/34 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 175 hp @ 6000 rpm, 175 ft-lbs. @ 4500 rpm,"$21,970 ",        Yes,        No,        Yes,0
466,Ford,Fusion Energi,2016 Fusion Energi Sedan,2016,Not Available,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive,Not Available, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$33,900 ",        Yes,        Yes,        Yes,0
467,Ford,Fusion,2015 Fusion Sedan,2015, 22/34 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 175 hp @ 6000 rpm, 175 ft-lbs. @ 4500 rpm,"$22,500 ",        Yes,        No,        No,0
468,Ford,Fusion Energi,2015 Fusion Energi Sedan,2015,Not Available,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive,Not Available, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$34,800 ",        Yes,        Yes,        Yes,0
469,Ford,Focus ST,2014 Focus ST Hatchback,2014, 23/32 mpg,Hatchback, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 252 hp @ 5500 rpm, 270 ft-lbs. @ 2500 rpm,"$24,115 ",        Yes,        Yes,        No,4
470,Ford,Fusion Hybrid,2014 Fusion Hybrid Sedan,2014, 44/41 mpg,Sedan, Continuously Variable-speed Automatic, 3 Yr./ 36000 Mi., Hybrid,5,Inline 4, Front Wheel Drive, Regular unleaded, 2.0 L, 188 hp @ 6000 rpm, 129 ft-lbs. @ 4000 rpm,"$26,270 ",        Yes,        No,        Yes,0
471,Ford,Shelby GT350,2016 Shelby GT350 Coupe,2016, 14/21 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V8, Rear Wheel Drive, Premium unleaded (recommended), 5.2 L, 526 hp @ 7500 rpm, 429 ft-lbs. @ 4750 rpm,"$47,870 ",        Yes,        Yes,        No,-1
472,Ford,Mustang,2014 Mustang Coupe,2014, 19/29 mpg,Coupe, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 305 hp @ 6500 rpm, 280 ft-lbs. @ 4250 rpm,"$22,510 ",        No,        No,        No,15
473,Ford,Mustang,2014 Mustang Convertible,2014, 19/29 mpg,Convertible, 6-speed Manual, 3 Yr./ 36000 Mi., Gas,4,V6, Rear Wheel Drive, Regular unleaded, 3.7 L, 305 hp @ 6500 rpm, 280 ft-lbs. @ 4250 rpm,"$27,510 ",        No,        No,        No,21
474,Ford,Taurus,2014 Taurus Sedan,2014, 19/29 mpg,Sedan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),5,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 288 hp @ 6500 rpm, 254 ft-lbs. @ 4000 rpm,"$26,780 ",        No,        No,        No,2
475,Ford,Transit Connect,2015 Transit Connect Minivan,2015, 21/29 mpg,Minivan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,2,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 169 hp @ 6000 rpm, 171 ft-lbs. @ 4500 rpm,"$22,330 ",        No,        No,        No,26
476,Ford,Transit Connect,2014 Transit Connect Minivan,2014, 21/29 mpg,Minivan, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,2,Inline 4, Front Wheel Drive, Regular unleaded, 2.5 L, 169 hp @ 6000 rpm, 171 ft-lbs. @ 4500 rpm,"$22,000 ",        No,        No,        No,26
477,Ford,Focus,2016 Focus Hatchback,2016, 26/36 mpg,Hatchback, 5-speed Manual, 3 Yr./ 36000 Mi., Flex-fuel (ffv),5,Inline 4, Front Wheel Drive, Flex-fuel (FFV), 2.0 L, 160 hp @ 6500 rpm, 146 ft-lbs. @ 4450 rpm,"$19,015 ",        Yes,        Yes,        No,4
478,Ford,Fiesta,2016 Fiesta Sedan,2016, 28/36 mpg,Sedan, 5-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 1.6 L, 120 hp @ 6350 rpm, 112 ft-lbs. @ 5000 rpm,"$14,580 ",        Yes,        No,        No,0
479,Ford,Flex,2016 Flex Wagon,2016, 18/25 mpg,Wagon, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Gas,7,V6, Front Wheel Drive, Regular unleaded, 3.5 L, 287 hp @ 6500 rpm, 254 ft-lbs. @ 4000 rpm,"$29,600 ",        Yes,        No,        Yes,27
480,Ford,Focus,2016 Focus Sedan,2016, 26/36 mpg,Sedan, 5-speed Manual, 3 Yr./ 36000 Mi., Flex-fuel (ffv),5,Inline 4, Front Wheel Drive, Flex-fuel (FFV), 2.0 L, 160 hp @ 6500 rpm, 146 ft-lbs. @ 4450 rpm,"$17,225 ",        Yes,        No,        No,0
481,Ford,Fiesta,2015 Fiesta Sedan,2015, 28/36 mpg,Sedan, 5-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 1.6 L, 120 hp @ 6350 rpm, 112 ft-lbs. @ 5000 rpm,"$14,455 ",        Yes,        No,        Yes,0
482,Ford,Fiesta,2016 Fiesta Hatchback,2016, 28/36 mpg,Hatchback, 5-speed Manual, 3 Yr./ 36000 Mi., Gas,5,Inline 4, Front Wheel Drive, Regular unleaded, 1.6 L, 120 hp @ 6350 rpm, 112 ft-lbs. @ 5000 rpm,"$14,880 ",        Yes,        No,        No,4
483,Ford,F-450 Super Duty,2016 F-450 Super Duty Crew Cab,2016,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Diesel,6,V8, Four Wheel Drive, Diesel, 6.7 L, 440 hp @ 2800 rpm, 860 ft-lbs. @ 1600 rpm,"$53,060 ",        No,        No,        No,28
484,Ford,F-250 Super Duty,2016 F-250 Super Duty Regular Cab,2016,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$32,385 ",        No,        No,        No,18
485,Ford,F-250 Super Duty,2016 F-250 Super Duty SuperCab,2016,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),6,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$34,580 ",        No,        No,        No,18
486,Ford,F-250 Super Duty,2014 F-250 Super Duty Regular Cab,2014,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$30,035 ",        No,        No,        No,18
487,Ford,F-250 Super Duty,2015 F-250 Super Duty Regular Cab,2015,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$31,235 ",        No,        No,        No,18
488,Ford,F-250 Super Duty,2015 F-250 Super Duty SuperCab,2015,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),6,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$33,430 ",        No,        No,        No,18
489,Ford,F-350 Super Duty,2016 F-350 Super Duty Regular Cab,2016,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$33,280 ",        No,        No,        No,18
490,Ford,F-350 Super Duty,2016 F-350 Super Duty Crew Cab,2016,Not Available,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),6,V8, Rear Wheel Drive, Flex-fuel (FFV), 6.2 L, 385 hp @ 5500 rpm, 405 ft-lbs. @ 4500 rpm,"$36,880 ",        No,        No,        No,18
491,Ford,Explorer,2016 Explorer SUV,2016, 17/24 mpg,SUV, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),7,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 290 hp @ 6500 rpm, 255 ft-lbs. @ 4000 rpm,"$31,050 ",        Yes,        No,        No,2
492,Ford,Explorer,2014 Explorer SUV,2014, 17/24 mpg,SUV, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),7,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 290 hp @ 6500 rpm, 255 ft-lbs. @ 4000 rpm,"$30,015 ",        No,        No,        No,2
493,Ford,F-150,2015 F-150 Regular Cab,2015, 18/25 mpg,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.5 L, 282 hp @ 6250 rpm, 253 ft-lbs. @ 4250 rpm,"$26,030 ",        No,        No,        No,21
494,Ford,F-150,2016 F-150 Regular Cab,2016, 18/25 mpg,Truck, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.5 L, 282 hp @ 6250 rpm, 253 ft-lbs. @ 4250 rpm,"$26,315 ",        No,        No,        No,21
495,Ford,Explorer,2015 Explorer SUV,2015, 17/24 mpg,SUV, 6-speed Shiftable Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),7,V6, Front Wheel Drive, Flex-fuel (FFV), 3.5 L, 290 hp @ 6500 rpm, 255 ft-lbs. @ 4000 rpm,"$30,700 ",        No,        No,        No,2
496,Ford,F-150,2014 F-150 Regular Cab,2014, 17/23 mpg,Truck, 6-speed Automatic, 3 Yr./ 36000 Mi., Flex-fuel (ffv),3,V6, Rear Wheel Drive, Flex-fuel (FFV), 3.7 L, 302 hp @ 6500 rpm, 278 ft-lbs. @ 4000 rpm,"$25,025 ",        No,        No,        No,21
